participant_id,study_id,session_id,dialog_id,language,subject,submitted_at_utc,overall_dialog_quality,robot_understanding_responsiveness,topic_coherence,user_engagement,user_frustration_resistance,user_disclosure_specificity,robot_human_likeness_social_presence,robot_trustworthiness_comfort,free_comment
test001,,,888,English,Vacation,2026-05-13T09:42:05+00:00,4,4,3,3,4,3,3,2,
test001,,,605,English,Breakfast,2026-05-13T09:42:25+00:00,3,2,2,3,3,4,3,4,
test001,,,1030,English,Breakfast,2026-05-13T09:42:41+00:00,3,4,3,3,4,4,4,2,
test002,,,646,English,Vacation,2026-05-13T09:47:06+00:00,5,2,3,4,4,3,4,4,
test002,,,1272,English,Watches,2026-05-13T09:47:23+00:00,4,3,2,2,4,4,3,4,
test002,,,434,English,Breakfast,2026-05-13T09:47:40+00:00,4,5,4,3,1,3,3,2,
68766b45c8f471e8ffec2bbc,6a0449c21d692d9662137a15,0w1jhb9w0yn,935,English,Breakfast,2026-05-13T09:52:37+00:00,3,2,4,1,2,3,4,4,
68766b45c8f471e8ffec2bbc,6a0449c21d692d9662137a15,0w1jhb9w0yn,1106,English,Watches,2026-05-13T09:52:49+00:00,5,4,4,2,2,4,3,3,
68766b45c8f471e8ffec2bbc,6a0449c21d692d9662137a15,0w1jhb9w0yn,873,English,Watches,2026-05-13T09:53:04+00:00,4,2,4,3,4,2,2,4,
test003,,,534,English,Breakfast,2026-05-13T11:30:45+00:00,4,3,2,5,5,2,4,3,
test003,,,1102,English,Vacation,2026-05-13T11:31:30+00:00,4,1,3,3,5,3,2,2,
test003,,,621,English,Watches,2026-05-13T11:36:48+00:00,4,3,2,2,1,1,4,4,
022,,,731,English,Vacation,2026-05-19T09:21:30+00:00,3,3,3,2,3,4,4,4,
022,,,1134,English,Watches,2026-05-19T09:21:56+00:00,3,4,2,4,2,5,3,5,
022,,,538,English,Breakfast,2026-05-19T09:22:11+00:00,5,4,4,3,3,2,3,2,
244,,,1120,English,Vacation,2026-05-19T09:37:00+00:00,3,3,4,4,3,3,4,5,
034,,,1267,English,Vacation,2026-05-21T11:16:40+00:00,3,3,3,4,4,4,4,3,
